size,path
100,0#Augusta#2023-10-20T13:00:00+00:00
200,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00
300,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Birmingham#2023-10-27 23:11:00
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00
500,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Atlanta#2023-10-27 23:22:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:40:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Macon#2023-10-28 00:41:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Gainesville#2023-10-27 22:27:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Laurens#2023-10-28 00:35:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Tucker#2023-10-27 23:10:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Ft Payne#2023-10-27 21:57:00/2#Gainesville#2023-10-27 22:27:00.412000+00:00/2#Oakwood#2023-10-27 22:36:00.412000
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Tucker#2023-10-27 22:05:00
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00
500,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Oakwood#2023-10-27 22:45:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Atlanta#2023-10-27 23:12:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Tucker#2023-10-27 23:00:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Ft Payne#2023-10-28 00:53:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Macon#2023-10-28 00:31:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000
700,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Gainesville#2023-10-27 23:31:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Oakwood#2023-10-27 23:24:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Ft Payne#2023-10-27 22:46:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Boaz#2023-10-27 23:20:48.427000
